Temps;A - B
(ms);(V)

-2,93928486;0,01129180
-2,93672486;0,05706960
-2,93416486;0,01220739
-2,93160486;0,01297033
-2,92904486;0,01297033
-2,92648486;0,01388597
-2,92392486;0,01388597
-2,92136486;0,01388597
-2,91880486;-0,03097630
-2,91624486;0,01480138
-2,91368486;-0,03006077
-2,91112486;0,01556444
-2,90856486;-0,02929771
-2,90600486;0,01648009
-2,90344486;-0,02838218
-2,90088486;0,01739550
-2,89832486;-0,02746665
-2,89576486;-0,02746665
-2,89320486;0,01815856
-2,89064486;0,01907408
-2,88808486;0,01907408
-2,88552486;-0,02578807
-2,88296486;0,01983702
-2,88040486;0,01983702
-2,87784486;0,02075255
-2,87528486;0,02075255
-2,87272486;-0,02410960
-2,87016486;0,02166820
-2,86760486;0,02166820
-2,86504486;-0,02319407
-2,86248486;0,02243114
-2,85992486;0,02334666
-2,85736486;-0,02151561
-2,85480486;0,02426219
-2,85224486;0,02426219
-2,84968486;-0,02059996
-2,84712486;-0,02059996
-2,84456486;0,02502525
-2,84200486;-0,01983702
-2,83944486;0,02594066
-2,83688486;-0,01892149
-2,83432486;0,02670372
-2,83176486;-0,01815856
-2,82920486;0,02761924
-2,82664486;-0,01709032
-2,82408486;-0,01709032
-2,82152486;-0,01617479
-2,81896486;-0,01617479
-2,81640486;-0,06103694
-2,81384486;-0,01541185
-2,81128486;0,03036582
-2,80872486;-0,01449633
-2,80616486;0,03128147
-2,80360486;0,03128147
-2,80104486;-0,01358080
-2,79848486;0,03204441
-2,79592486;-0,01281786
-2,79336486;0,03295994
-2,79080486;-0,01190233
-2,78824486;0,03372288
-2,78568486;-0,01113915
-2,78312486;-0,01113915
-2,78056486;-0,01022363
-2,77800486;-0,01022363
-2,77544486;0,03555417
-2,77288486;0,03555417
-2,77032486;-0,00930810
-2,76776486;-0,00854540
-2,76520486;-0,00854540
-2,76264486;-0,00762963
-2,76008486;-0,00762963
-2,75752486;-0,00671411
-2,75496486;-0,00671411
-2,75240486;-0,00671411
-2,74984486;-0,00595117
-2,74728486;-0,00595117
-2,74472486;0,03982663
-2,74216486;-0,00503540
-2,73960486;-0,04989767
-2,73704486;-0,00427246
-2,73448486;0,04150534
-2,73192486;-0,00335693
-2,72936486;-0,00335693
-2,72680486;-0,04821920
-2,72424486;-0,00244165
-2,72168486;-0,04730368
-2,71912486;-0,00167847
-2,71656486;0,04409933
-2,71400486;-0,00076294
-2,71144486;0,00015259
-2,70888486;0,00015259
-2,70632486;0,00015259
-2,70376486;-0,04470968
-2,70120486;0,00091553
