Temps;Canal A;Canal B;Veb;Vec
(ms);(V);(V);(V);(V)

3,68966528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,69478528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,69990528;0,84170050;0,27216410;-0,67667160;-0,67667160
3,70502528;0,82332840;0,27216410;-0,65829950;-0,65829950
3,71014528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,71526528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,72038528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,72550528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,73062528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,73574528;0,84170050;0,27216410;-0,67667160;-0,67667160
3,74086528;0,82332840;0,29023100;-0,65829950;-0,65829950
3,74598528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,75110528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,75622528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,76134528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,76646528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,77158528;0,84170050;0,27216410;-0,67667160;-0,67667160
3,77670528;0,82332840;0,27216410;-0,65829950;-0,65829950
3,78182528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,78694528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,79206528;0,84170050;0,29023100;-0,67667160;-0,67667160
3,79718528;0,82332840;0,29023100;-0,65829950;-0,65829950
3,80230528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,80742528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,81254528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,81766528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,82278528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,82790528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,83302528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,83814528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,84326528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,84838528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,85350528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,85862528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,86374528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,86886528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,87398528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,87910528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,88422528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,88934528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,89446528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,89958528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,90470528;0,84170050;0,27216410;-0,67667160;-0,67667160
3,90982528;0,82332840;0,27216410;-0,65829950;-0,65829950
3,91494528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,92006528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,92518528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,93030528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,93542528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,94054528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,94566528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,95078528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,95590528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,96102528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,96614528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,97126528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,97638528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,98150528;0,84170050;0,27216410;-0,65829950;-0,65829950
